stratum	lon	lat
red3	-9.07008	56.9
red3	-9.1	56.92992
red3	-9.101654	56.93333
red3	-9.133333	56.96501
red3	-9.13438	56.96667
red3	-9.166667	56.99895
red3	-9.168132	57
red3	-9.2	57.03187
red3	-9.202627	57.03333
red3	-9.233333	57.06404
red3	-9.24604	57.06667
red3	-9.266667	57.08729
red3	-9.268717	57.1
red3	-9.281168	57.13333
red3	-9.3	57.15217
red3	-9.302846	57.16667
red3	-9.333333	57.19715
red3	-9.336029	57.2
red3	-9.366667	57.23064
red3	-9.369867	57.23333
red3	-9.4	57.26347
red3	-9.401115	57.26667
red3	-9.433333	57.29889
red3	-9.433983	57.3
red3	-9.434887	57.33333
red3	-9.299509	57.3333
red3	-9.198287	57.24148
red3	-9.195692	57.20367
red3	-9.128211	57.20367
red3	-9.102257	57.17126
red3	-9.029585	57.17126
red3	-8.99844	57.13885
red3	-8.995845	57.06323
red3	-8.96989	57.03622
red3	-8.933554	57.03622
red3	-8.902409	57.00381
red3	-8.829738	57.00381
red3	-8.806379	56.9768
red3	-8.770043	56.9768
red3	-8.728516	56.93359
red3	-8.697371	56.93359
red3	-8.666226	56.90118
red3	-8.666226	56.86877
red3	-8.655844	56.83096
red3	-8.661035	56.80395
red3	-8.632485	56.77155
red3	-8.497524	56.77155
red3	-8.435233	56.83636
red3	-8.269126	56.83096
red3	-8.230195	56.79315
red3	-8.23279	56.69052
red3	-8.19905	56.69592
red3	-8.161005	56.66403
red3	-8.165763	56.60174
red3	-8.245768	56.52848
red3	-8.245768	56.39344
red3	-8.180882	56.32862
red3	-8.180882	56.30161
red3	-8.152332	56.2638
red3	-8.16531	56.2422
red3	-8.269126	56.23679
red3	-8.284699	56.22059
red3	-8.318439	56.15037
red3	-8.315844	56.11796
red3	-8.372943	56.07235
red3	-8.393707	56.0443
red3	-8.562409	55.86854
red3	-8.60134	55.86854
red3	-8.694776	55.76757
red3	-8.731111	55.76757
red3	-8.759661	55.73392
red3	-8.801188	55.73392
red3	-8.866073	55.67035
red3	-8.905005	55.67035
red3	-8.930959	55.63669
red3	-8.930959	55.60678
red3	-9.02699	55.50207
red3	-9.063325	55.50207
red3	-9.130806	55.43476
red3	-9.145081	55.40858
red3	-9.226837	55.30387
red3	-9.333249	55.30013
red3	-9.335845	55.23656
red3	-9.364394	55.20291
red3	-9.431875	55.19917
red3	-9.46302	55.16551
red3	-9.499356	55.16551
red3	-9.499356	55.03463
red3	-9.398135	55.03089
red3	-9.369585	55.00097
red3	-9.46302	54.91496
red3	-9.499356	54.90001
red3	-9.530501	54.87009
red3	-9.634318	54.86635
red3	-9.662868	54.83643
red3	-9.701799	54.83269
red3	-9.732944	54.79904
red3	-9.800425	54.79904
red3	-9.865311	54.73547
red3	-10.067754	54.73173
red3	-10.098899	54.69807
red3	-10.13783	54.69807
red3	-10.163784	54.66816
red3	-10.202716	54.66442
red3	-10.231265	54.6345
red3	-10.298746	54.63076
red3	-10.363632	54.56719
red3	-10.399968	54.56719
red3	-10.428517	54.53353
red3	-10.500339	54.53333
green1	-9.434887	57.33333
green1	-9.437597	57.36667
green1	-9.450219	57.4
green1	-9.466667	57.41645
green1	-9.469363	57.43333
green1	-9.473051	57.46667
green1	-9.5	57.49362
green1	-9.501738	57.5
green1	-9.52021	57.53333
green1	-9.533333	57.54646
green1	-9.536864	57.56667
green1	-9.566667	57.59647
green1	-9.56822	57.6
green1	-9.573051	57.63333
green1	-9.6	57.66028
green1	-9.601058	57.66667
green1	-9.601424	57.7
green1	-9.601831	57.73333
green1	-9.601508	57.76667
green1	-9.6	57.77396
green1	-9.573958	57.8
green1	-9.569593	57.83333
green1	-9.570458	57.86667
green1	-9.429594	57.90086
green1	-9.399315	57.87178
green1	-9.362979	57.89504
green1	-9.138907	57.90086
green1	-9.096515	57.93576
green1	-8.99962	57.93576
green1	-8.926948	58.00557
green1	-8.933004	58.03465
green1	-8.902724	58.06956
green1	-8.896668	58.09864
green1	-8.793716	58.10446
green1	-8.763436	58.12773
green1	-8.599925	58.13354
green1	-8.563589	58.16263
green1	-8.436413	58.16263
green1	-8.339517	58.27315
green1	-8.339517	58.29642
green1	-8.188118	58.30224
green1	-8.163894	58.33132
green1	-8.16995	58.36041
green1	-8.103334	58.37204
green1	-8.066998	58.39531
green1	-8.036718	58.39531
green1	-8.006438	58.43021
green1	-7.964046	58.43603
green1	-7.89743	58.51165
green1	-7.89743	58.54074
green1	-7.867151	58.57564
green1	-7.964046	58.66871
